"TRAYECTO","DESCRIPCION","NOMENCLATURA_CIRCUITO"
3,"LEVANTE BOLSAS DE BARRIDO","LB_5_TAREAMANO"
6,"DOMICILIARIA MANUAL","G_DM_01"
7,"DOMICILIARIA MANUAL","G_DM_03"
8,"DOMICILIARIA MANUAL","G_DM_04"
9,"DOMICILIARIA MANUAL","G_DM_05"
10,"C.C.Z.  12  REC.  5",""
11,"C.C.Z.  12  REC.  6",""
12,"C.C.Z.  12  REC.  7",""
13,"C.C.Z.  12  REC.  8",""
14,"DOMICILIARIA MANUAL","A_DM_12"
15,"DOMICILIARIA MANUAL","A_DM_13"
16,"DOMICILIARIA MANUAL","A_DM_14"
17,"DOMICILIARIA MANUAL","G_DM_02"
18,"C.C.Z.  14  REC.  5",""
19,"C.C.Z.  14  REC.  6",""
20,"C.C.Z.  14  REC.  7",""
21,"C.C.Z.  14  REC.  8",""
22,"C.C.Z.  14  REC.  9",""
23,"C.C.Z.  14  REC.  10",""
24,"C.C.Z.  14  REC.  11",""
25,"C.C.Z.  14  REC.  12",""
26,"C.C.Z.  14  REC.  13",""
27,"C.C.Z.  14  REC.  14",""
28,"C.C.Z.  15  REC.  1",""
29,"C.C.Z.  15  REC.  2",""
30,"C.C.Z.  15  REC.  3",""
31,"C.C.Z.  15  REC.  4",""
32,"C.C.Z.  15  REC.  5",""
33,"DOMICILIARIA MANUAL","A_DM_01"
34,"DOMICILIARIA MANUAL","A_DM_02"
35,"DOMICILIARIA MANUAL","A_DM_03"
36,"DOMICILIARIA MANUAL","A_DM_04"
37,"DOMICILIARIA MANUAL","A_DM_05"
38,"DOMICILIARIA MANUAL","A_DM_06"
39,"DOMICILIARIA MANUAL","A_DM_07"
40,"C.C.Z.  17  REC.  8",""
41,"C.C.Z.  17  REC.  9",""
42,"C.C.Z.  17  REC.  10",""
43,"C.C.Z.  17  REC.  11",""
44,"DOMICILIARIA MANUAL","A_DM_08"
45,"DOMICILIARIA MANUAL","A_DM_09"
46,"DOMICILIARIA MANUAL","A_DM_15"
47,"DOMICILIARIA MANUAL","A_DM_10"
48,"DOMICILIARIA MANUAL","A_DM_11"
49,"C.C.Z.  3  REC.  1",""
50,"C.C.Z.  3  REC.  2",""
51,"C.C.Z.  3  REC.  3",""
52,"C.C.Z.  3  REC.  4",""
53,"C.C.Z.  3  REC.  5",""
54,"C.C.Z.  3  REC.  6",""
55,"C.C.Z.  3  REC.  7",""
56,"C.C.Z.  3  REC.  8",""
57,"C.C.Z.  3  REC.  9",""
58,"C.C.Z.  4  REC.  4",""
59,"C.C.Z.  4  REC.  5",""
60,"C.C.Z.  4  REC.  6",""
61,"C.C.Z.  4  REC.  7",""
62,"C.C.Z.  4  REC.  8",""
66,"C.C.Z.  4  REC.  1",""
67,"C.C.Z.  4  REC.  2",""
68,"C.C.Z.  4  REC.  3",""
69,"C.C.Z.  5  REC.  1",""
70,"C.C.Z.  5  REC.  2",""
71,"C.C.Z.  5  REC.  3",""
72,"C.C.Z.  5  REC.  4",""
73,"C.C.Z.  5  REC.  5",""
74,"C.C.Z.  5  REC.  6",""
75,"C.C.Z.  5  REC.  7",""
76,"C.C.Z.  5  REC.  8",""
77,"C.C.Z.  5  REC.  9",""
78,"C.C.Z.  5  REC.  10",""
79,"C.C.Z.  5  REC.  11",""
80,"C.C.Z.  5  REC.  12",""
81,"C.C.Z.  16  REC.  1",""
82,"C.C.Z.  16  REC.  2",""
83,"C.C.Z.  16  REC.  3",""
84,"C.C.Z.  16  REC.  4",""
85,"C.C.Z.  6  REC.  1",""
86,"C.C.Z.  6  REC.  2",""
87,"C.C.Z.  6  REC.  3",""
88,"C.C.Z.  6  REC.  4",""
89,"C.C.Z.  6  REC.  5",""
90,"C.C.Z.  6  REC.  6",""
91,"C.C.Z.  6  REC.  7",""
92,"C.C.Z.  6  REC.  8",""
93,"C.C.Z.  6  REC.  9",""
94,"C.C.Z.  6  REC.  10",""
95,"RECOLECCIÓN DOMICILIARIA MANUAL","F_DM_08_9.1"
96,"RECOLECCIÓN DOMICILIARIA MANUAL","F_DM_09_9.2"
97,"RECOLECCIÓN DOMICILIARIA MANUAL","F_DM_10_9.3"
98,"RECOLECCIÓN DOMICILIARIA MANUAL","F_DM_11_9.4"
99,"RECOLECCIÓN DOMICILIARIA MANUAL","F_DM_12_9.5"
100,"RECOLECCIÓN DOMICILIARIA MANUAL","F_DM_07_9.6"
101,"RECOLECCIÓN DOMICILIARIA MANUAL","F_DM_16_9.7"
102,"RECOLECCIÓN DOMICILIARIA MANUAL","F_DM_13_9.8"
103,"RECOLECCIÓN DOMICILIARIA MANUAL","F_DM_14_9.9"
104,"RECOLECCIÓN DOMICILIARIA MANUAL","F_DM_15_9.10"
105,"RECOLECCIÓN DOMICILIARIA MANUAL","F_DM_17_9.11"
106,"RECOLECCIÓN DOMICILIARIA MANUAL","F_DM_18_9.12"
107,"RECOLECCIÓN DOMICILIARIA MANUAL","F_DM_19_9.13"
108,"RECOLECCIÓN DOMICILIARIA MANUAL","F_DM_01_9_14"
109,"RECOLECCIÓN DOMICILIARIA MANUAL","F_DM_02_9.15"
110,"RECOLECCIÓN DOMICILIARIA MANUAL","F_DM_03_9.16"
111,"RECOLECCIÓN DOMICILIARIA MANUAL","F_DM_04_9.17"
112,"RECOLECCIÓN DOMICILIARIA MANUAL","D_DM_08_10.3"
113,"RECOLECCIÓN DOMICILIARIA MANUAL","F_DM_20_10.2"
114,"RECOLECCIÓN DOMICILIARIA MANUAL","D_DM_08_10.3"
115,"RECOLECCIÓN DOMICILIARIA MANUAL","D_DM_09_10.4"
116,"RECOLECCIÓN DOMICILIARIA MANUAL","D_DM_02_LM2"
117,"RECOLECCIÓN DOMICILIARIA MANUAL","D_DM_01_LM1"
118,"RECOLECCIÓN DOMICILIARIA MANUAL","D_DM_07_LM1"
119,"C.C.Z.  7  REC.  1",""
120,"C.C.Z.  7  REC.  2",""
121,"C.C.Z.  7  REC.  3",""
122,"C.C.Z.  7  REC.  4",""
123,"C.C.Z.  7  REC.  5",""
124,"C.C.Z.  7  REC.  6",""
125,"RECOLECCIÓN DOMICILIARIA MANUAL","D_DM_03_11.1"
126,"RECOLECCIÓN DOMICILIARIA MANUAL","D_DM_06_11.4"
127,"C.C.Z.  11  REC.  3",""
128,"C.C.Z.  11  REC.  4",""
129,"C.C.Z.  11  REC.  5",""
130,"C.C.Z.  11  REC.  6",""
131,"C.C.Z.  11  REC.  7",""
132,"C.C.Z.  11  REC.  8",""
133,"C.C.Z.  11  REC.  9",""
134,"RECOLECCIÓN DOMICILIARIA MANUAL","D_DM_04_11.2"
135,"RECOLECCIÓN DOMICILIARIA MANUAL","D_DM_05_11.3"
136,"Tipo Rec: BARRIDO - REGION ESTE",""
137,"Tipo Rec: BARRIDO - REGION CENTRO",""
138,"C.C.Z.  13  REC.  1",""
139,"C.C.Z.  13  REC.  2",""
140,"C.C.Z.  13  REC.  3",""
141,"C.C.Z.  13  REC.  4",""
142,"C.C.Z.  13  REC.  5",""
143,"C.C.Z.  13  REC.  6",""
144,"C.C.Z.  13  REC.  7",""
145,"C.C.Z.  13  REC.  8",""
146,"C.C.Z.  13  REC.  9",""
147,"C.C.Z.  13  REC.  10",""
148,"Tipo Rec: ESPECIALES - REGION OESTE",""
149,"Tipo Rec: ESPECIALES - REGION CENTRO",""
150,"Tipo Rec: ESPECIALES - REGION ESTE",""
151,"Tipo Rec: COMPLEJOS HABITAC. - REGION OESTE",""
152,"Tipo Rec: COMPLEJOS HABITAC. - REGION CENTRO",""
153,"Tipo Rec: COMPLEJOS HABITAC. - REGION ESTE",""
154,"Tipo Rec: PUNTOS VERDES - REGION OESTE",""
155,"Tipo Rec: PUNTOS VERDES - REGION CENTRO",""
156,"Tipo Rec: PUNTOS VERDES - REGION ESTE",""
157,"Tipo Rec: 1950 - REGION OESTE",""
158,"Tipo Rec: 1950 - REGION CENTRO",""
159,"Tipo Rec: 1950 - REGION ESTE",""
160,"Tipo Rec: AVENIDAS - REGION OESTE",""
161,"Tipo Rec: AVENIDAS - REGION CENTRO",""
162,"RECOLECCIÓN DOMICILIARIA MANUAL - ESTE","LM4"
163,"LIMPIEZA DE FERIAS","LF_FERIAS1_MARTES"
164,"Tipo Rec: FERIAS - REGION CENTRO",""
165,"Tipo Rec: FERIAS - REGION ESTE",""
166,"RECOLECCION RECLAMOS SUR - REGION OESTE","VS_DU_RM_CA_01"
167,"Tipo Rec: RECOLECCION SUR - REGION CENTRO",""
168,"Tipo Rec: RECOLECCION SUR - REGION ESTE",""
170,"Particulares",""
171,"Tipo Rec: PLAYAS - REGION ESTE",""
172,"Tipo Rec: PLAYAS - REGION OESTE",""
173,"RECOLECCION CANELONES",""
174,"Tipo Rec: VOLQUETAS DFR - REGION ESTE",""
175,"C.C.Z.  1  REC.  1",""
176,"C.C.Z.  2  REC.  1",""
177,"C.C.Z.  2  REC.  2",""
178,"C.C.Z.  8  REC.  1",""
179,"C.C.Z.  8  REC.  2",""
180,"C.C.Z.  8  REC.  3",""
181,"C.C.Z.  8  REC.  4",""
182,"C.C.Z.  8  REC.  5",""
183,"C.C.Z.  8  REC.  6",""
184,"Tipo Rec: PLAYAS - REGION CENTRO",""
185,"Tipo Rec: DESCARTE - REGION OESTE",""
186,"Tipo Rec: DESCARTE - REGION CENTRO",""
187,"Tipo Rec: DESCARTE - REGION ESTE",""
188,"Tipo Rec: EMERGENCIAS - REGION OESTE",""
189,"Tipo Rec: EMERGENCIAS - REGION CENTRO",""
190,"Tipo Rec: EMERGENCIAS - REGION ESTE",""
191,"Tipo Rec: TRESOR - CHACRA - REGION ESTE",""
192,"Tipo Rec: ZOOLOGICOS - REGION OESTE",""
193,"Tipo Rec: ZOOLOGICOS - REGION CENTRO",""
194,"C.C.Z. 3 - REC. 1",""
195,"C.C.Z. 3 - REC. 2",""
196,"C.C.Z. 3 - REC. 3",""
197,"C.C.Z. 3 - REC. 4",""
198,"C.C.Z. 3 - REC. 5",""
199,"C.C.Z. 3 - REC. 6",""
200,"C.C.Z. 3 - REC. 7",""
201,"C.C.Z.  3  REC.  8",""
202,"C.C.Z.  3  REC.  9",""
203,"C.C.Z.  3  REC.  10",""
204,"C.C.Z.  3  REC.  11",""
205,"C.C.Z.  3  REC.  12",""
206,"C.C.Z.  3  REC.  13",""
207,"C.C.Z.  3  REC.  14",""
208,"C.C.Z.  3  REC.  15",""
209,"C.C.Z.  3  REC.  16",""
210,"C.C.Z.  3  REC.  17",""
211,"C.C.Z.  3  REC.  18",""
212,"C.C.Z.  3  REC.  19",""
213,"C.C.Z.  3  REC.  20",""
214,"C.C.Z.  3  REC.  21",""
215,"C.C.Z.  3  REC.  22",""
216,"C.C.Z.  3  REC.  23",""
217,"C.C.Z.  3  REC.  24",""
218,"C.C.Z.  3  REC.  25",""
219,"C.C.Z.  3  REC.  0",""
220,"C.C.Z.  4  REC.  1",""
221,"C.C.Z.  4  REC.  2",""
222,"C.C.Z.  4  REC.  3",""
223,"C.C.Z.  4  REC.  4",""
224,"C.C.Z.  4  REC.  5",""
225,"C.C.Z.  4  REC.  6",""
226,"C.C.Z.  4  REC.  7",""
227,"C.C.Z.  4  REC.  8",""
228,"C.C.Z.  4  REC.  9",""
229,"C.C.Z.  4  REC.  10",""
230,"C.C.Z.  4  REC.  11",""
231,"C.C.Z.  4  REC.  12",""
232,"C.C.Z.  4  REC.  13",""
233,"C.C.Z.  4  REC.  14",""
234,"C.C.Z.  4  REC.  15",""
235,"C.C.Z.  4  REC.  16",""
236,"C.C.Z.  4  REC.  17",""
237,"C.C.Z.  4  REC.  18",""
238,"C.C.Z.  4  REC.  19",""
239,"C.C.Z.  4  REC.  20",""
240,"C.C.Z.  4  REC.  21",""
241,"C.C.Z.  4  REC.  22",""
242,"C.C.Z.  4  REC.  23",""
243,"C.C.Z.  4  REC.  24",""
244,"C.C.Z.  4  REC.  25",""
245,"C.C.Z.  4  REC.  0",""
246,"C.C.Z.  6  REC. 1",""
247,"C.C.Z.  6  REC. 2",""
248,"C.C.Z.  6  REC.3",""
249,"C.C.Z.  6  REC. 4",""
250,"C.C.Z.  6  REC. 5",""
251,"C.C.Z.  6  REC. 6",""
252,"C.C.Z.  6  REC. 7",""
253,"C.C.Z.  6  REC. 8",""
254,"C.C.Z.  6  REC.  9",""
255,"C.C.Z.  6  REC.  10",""
256,"C.C.Z.  6  REC.  11",""
257,"C.C.Z.  6  REC.  12",""
258,"C.C.Z.  6  REC.  13",""
259,"C.C.Z.  6  REC.  14",""
260,"C.C.Z.  6  REC.  15",""
261,"C.C.Z.  6  REC.  16",""
262,"C.C.Z.  6  REC.  17",""
263,"C.C.Z.  6  REC.  18",""
264,"C.C.Z.  6  REC.  19",""
265,"C.C.Z.  6  REC.  20",""
266,"C.C.Z.  6  REC.  21",""
267,"C.C.Z.  6  REC.  22",""
268,"C.C.Z.  6  REC.  23",""
269,"C.C.Z.  6  REC.  24",""
270,"C.C.Z.  6  REC.  25",""
272,"C.C.Z. 7  REC. 1",""
273,"C.C.Z. 7  REC. 2",""
274,"C.C.Z. 7  REC.3",""
275,"C.C.Z. 7  REC. 4",""
276,"C.C.Z. 7  REC. 5",""
277,"C.C.Z. 7  REC. 6",""
278,"C.C.Z. 7  REC. 7",""
279,"C.C.Z. 7  REC. 8",""
280,"C.C.Z. 7  REC. 9",""
281,"C.C.Z. 7  REC. 10",""
282,"C.C.Z. 7  REC. 11",""
283,"C.C.Z. 7  REC. 12",""
284,"C.C.Z. 7  REC. 13",""
285,"C.C.Z. 7  REC. 14",""
286,"C.C.Z. 7  REC. 15",""
287,"C.C.Z. 7  REC. 16",""
288,"C.C.Z. 7  REC. 17",""
289,"C.C.Z. 7 - REC. 18",""
290,"C.C.Z. 7  REC. 19",""
291,"C.C.Z. 7 - REC. 20",""
292,"C.C.Z. 7  REC. 21",""
293,"C.C.Z. 7 - REC. 22",""
294,"C.C.Z. 7  REC. 23",""
295,"C.C.Z. 7 - REC. 24",""
296,"C.C.Z. 7  REC. 25",""
297,"C.C.Z. 9 - REC. 1",""
298,"C.C.Z. 9 - REC. 2",""
299,"C.C.Z. 9 - REC. 3",""
300,"C.C.Z. 9 - REC. 4",""
301,"C.C.Z. 9 - REC. 5",""
302,"C.C.Z. 9 - REC. 6",""
303,"C.C.Z. 9 - REC. 7",""
304,"C.C.Z. 9 - REC. 8",""
305,"C.C.Z. 9 - REC. 9",""
306,"C.C.Z. 9 - REC. 10",""
307,"C.C.Z. 9 - REC. 11",""
308,"C.C.Z. 9 - REC. 12",""
309,"C.C.Z. 9 - REC. 13",""
310,"C.C.Z. 9 - REC. 14",""
311,"C.C.Z. 9 - REC. 15",""
312,"C.C.Z. 9 - REC. 16",""
313,"C.C.Z. 9 - REC. 17",""
314,"C.C.Z. 9 - REC. 18",""
315,"C.C.Z. 9 - REC. 19",""
316,"C.C.Z. 9 - REC. 20",""
317,"C.C.Z. 9 - REC. 21",""
318,"C.C.Z. 9 - REC. 22",""
319,"C.C.Z. 9 - REC. 23",""
320,"C.C.Z. 9 - REC. 24",""
321,"C.C.Z. 9 - REC. 25",""
322,"C.C.Z. 10 - REC. 1",""
323,"C.C.Z. 10 - REC. 2",""
324,"C.C.Z. 10 - REC. 3",""
325,"C.C.Z. 10 - REC. 4",""
326,"C.C.Z. 10 - REC. 5",""
327,"C.C.Z. 10 - REC. 6",""
328,"C.C.Z. 10 - REC. 7",""
329,"C.C.Z. 10 - REC. 8",""
330,"C.C.Z. 10 - REC. 9",""
331,"C.C.Z. 10 - REC. 10",""
332,"C.C.Z. 10 - REC. 11",""
333,"C.C.Z. 10 - REC. 12",""
334,"C.C.Z. 10 - REC. 13",""
335,"C.C.Z. 10 - REC. 14",""
336,"C.C.Z. 10 - REC. 15",""
337,"C.C.Z. 10 - REC. 16",""
338,"C.C.Z. 10 - REC. 17",""
339,"C.C.Z. 10 - REC. 18",""
340,"C.C.Z. 10 - REC. 19",""
341,"C.C.Z. 10 - REC. 20",""
342,"C.C.Z. 10 - REC. 21",""
343,"C.C.Z. 10 - REC. 22",""
344,"C.C.Z. 10 - REC. 23",""
345,"C.C.Z. 10 - REC. 24",""
346,"C.C.Z. 10 - REC. 25",""
347,"C.C.Z. 11 - REC. 1",""
348,"C.C.Z. 11 - REC. 2",""
349,"C.C.Z. 11 - REC. 3",""
350,"C.C.Z. 11 - REC. 4",""
351,"C.C.Z. 11 - REC. 5",""
352,"C.C.Z. 11 - REC. 6",""
353,"C.C.Z. 11 - REC. 7",""
354,"C.C.Z. 11 - REC. 8",""
355,"C.C.Z. 11 - REC. 9",""
356,"C.C.Z. 11 - REC. 10",""
357,"C.C.Z. 11 - REC. 11",""
358,"C.C.Z. 11 - REC. 12",""
359,"C.C.Z. 11 - REC. 13",""
360,"C.C.Z. 11 - REC. 14",""
361,"C.C.Z. 11 - REC. 15",""
362,"C.C.Z. 11 - REC. 16",""
363,"C.C.Z. 11 - REC. 17",""
364,"C.C.Z. 11 - REC. 18",""
365,"C.C.Z. 11 - REC. 19",""
366,"C.C.Z. 11 - REC. 20",""
367,"C.C.Z. 11 - REC. 21",""
368,"C.C.Z. 11 - REC. 22",""
369,"C.C.Z. 11 - REC. 23",""
370,"C.C.Z. 11 - REC. 24",""
371,"C.C.Z. 11 - REC. 25",""
372,"C.C.Z.  14  REC.  1",""
373,"C.C.Z.  14  REC. 2",""
374,"C.C.Z.  14  REC.3",""
375,"C.C.Z.  14  REC.  4",""
376,"C.C.Z.  14  REC. 5",""
377,"C.C.Z.  14  REC.  6",""
378,"C.C.Z.  14  REC.  7",""
379,"C.C.Z.  14  REC. 8",""
380,"C.C.Z.  14  REC.  9",""
381,"C.C.Z.  14  REC. 10",""
382,"C.C.Z.  14  REC.  11",""
383,"C.C.Z.  14  REC. 12",""
384,"C.C.Z.  14  REC.  13",""
385,"C.C.Z.  14 REC. 14",""
386,"C.C.Z.  14  REC. 15",""
387,"C.C.Z.  14  REC. 16",""
388,"C.C.Z.  14  REC.  17",""
389,"C.C.Z.  14  REC. 18",""
390,"C.C.Z.  14  REC. 19",""
391,"C.C.Z.  14  REC. 20",""
392,"C.C.Z.  14  REC. 21",""
393,"C.C.Z.  14  REC. 22",""
394,"C.C.Z.  14  REC. 23",""
395,"C.C.Z.  14  REC. 24",""
396,"C.C.Z.  14  REC.  25",""
397,"C.C.Z. 16 - REC. 1",""
398,"C.C.Z. 16 - REC. 2",""
399,"C.C.Z. 16 - REC. 3",""
400,"C.C.Z. 16 - REC. 4",""
401,"C.C.Z. 16 - REC. 5",""
402,"C.C.Z. 16 - REC. 6",""
403,"C.C.Z. 16 - REC. 7",""
404,"C.C.Z. 16 - REC. 8",""
405,"C.C.Z. 16 - REC. 9",""
406,"C.C.Z. 16 - REC. 10",""
407,"C.C.Z. 16 - REC. 11",""
408,"C.C.Z. 16 - REC. 12",""
409,"C.C.Z. 16 - REC. 13",""
410,"C.C.Z. 16 - REC. 14",""
411,"C.C.Z. 16 - REC. 15",""
412,"C.C.Z. 16 - REC. 16",""
413,"C.C.Z. 16 - REC. 17",""
414,"C.C.Z. 16 - REC. 18",""
415,"C.C.Z. 16 - REC. 19",""
416,"C.C.Z. 16 - REC. 20",""
417,"C.C.Z. 16 - REC. 21",""
418,"C.C.Z. 16 - REC. 22",""
419,"C.C.Z. 16 - REC. 23",""
420,"C.C.Z. 16 - REC. 24",""
421,"C.C.Z. 16 - REC. 25",""
422,"C.C.Z. 17  REC. 1",""
423,"C.C.Z.  17  REC. 2",""
424,"C.C.Z.  17  REC.3",""
425,"C.C.Z.  17  REC. 4",""
426,"C.C.Z.  17  REC. 5",""
427,"C.C.Z.  17  REC. 6",""
428,"C.C.Z.  17  REC. 7",""
429,"C.C.Z.  17  REC. 8",""
430,"C.C.Z.  17  REC. 9",""
431,"C.C.Z.  17  REC. 10",""
432,"C.C.Z.  17  REC. 11",""
433,"C.C.Z.  17  REC. 12",""
434,"C.C.Z.  17  REC. 13",""
435,"C.C.Z. 17  REC. 14",""
436,"C.C.Z.  17  REC.15",""
437,"C.C.Z.  17  REC. 16",""
438,"C.C.Z. 17 - REC. 17",""
439,"C.C.Z. 17 - REC. 18",""
440,"C.C.Z. 17 - REC. 19",""
441,"C.C.Z. 17 - REC. 20",""
442,"C.C.Z. 17 - REC. 21",""
443,"C.C.Z. 17 - REC. 22",""
444,"C.C.Z. 17 - REC. 23",""
445,"C.C.Z. 17 - REC. 24",""
446,"C.C.Z. 17 - REC. 25",""
447,"C.C.Z.  18  REC.  1",""
448,"C.C.Z.  18  REC.  2",""
449,"C.C.Z.  18  REC.  3",""
450,"C.C.Z.  18  REC.  4",""
451,"C.C.Z.  18  REC.  5",""
452,"C.C.Z.  18  REC.  6",""
453,"C.C.Z.  18  REC.  7",""
454,"C.C.Z.  18  REC.  8",""
455,"C.C.Z.  18  REC.  9",""
456,"C.C.Z.  18  REC.  10",""
457,"C.C.Z.  18  REC.  11",""
458,"C.C.Z.  18  REC.  12",""
459,"C.C.Z.  18  REC.  13",""
460,"C.C.Z.  18  REC. 14",""
461,"C.C.Z.  18  REC. 15",""
462,"C.C.Z.  18  REC. 16",""
463,"C.C.Z.  18  REC. 17",""
464,"C.C.Z.  18  REC. 18",""
465,"C.C.Z.  18  REC. 19",""
466,"C.C.Z.  18  REC. 20",""
467,"C.C.Z.  18  REC. 21",""
468,"C.C.Z.  18 REC. 22",""
469,"C.C.Z.  18  REC. 23",""
470,"C.C.Z.  18  REC. 24",""
471,"C.C.Z.  18  REC. 25",""
472,"C.C.Z.  14  REC.  32",""
473,"C.C.Z.  14  REC.  31",""
474,"C.C.Z.  14  REC.  30",""
475,"C.C.Z.  14  REC.  29",""
476,"C.C.Z.  14  REC.  28",""
477,"C.C.Z.  14  REC.  27",""
478,"C.C.Z.  14  REC.  26",""
479,"C.C.Z.  14  REC.  33",""
480,"C.C.Z.  14  REC.  34",""
481,"C.C.Z.  14  REC.  36",""
482,"C.C.Z.  14  REC.  37",""
483,"C.C.Z.  14  REC.  38",""
484,"C.C.Z.  14  REC.  35",""
485,"C.C.Z.  14  REC.  39",""
486,"C.C.Z.  14  REC.  40",""
487,"C.C.Z.  4  REC.  26",""
488,"C.C.Z.  14  REC.  0",""
489,"C.C.Z.  4  REC.  27",""
490,"C.C.Z.  4  REC.  29",""
491,"C.C.Z.  4  REC.  28",""
492,"C.C.Z.  4  REC.  30",""
493,"C.C.Z.  4  REC.  31",""
494,"C.C.Z.  4  REC.  32",""
495,"C.C.Z.  4  REC.  33",""
496,"C.C.Z.  4  REC.  34",""
497,"C.C.Z.  4  REC.  35",""
498,"C.C.Z.  4  REC.  36",""
499,"C.C.Z.  4  REC.  37",""
500,"C.C.Z.  4  REC.  38",""
501,"C.C.Z.  4  REC.  39",""
502,"C.C.Z.  4  REC.  40",""
503,"C.C.Z.  18  REC.  0",""
504,"C.C.Z.  18  REC.  26",""
505,"C.C.Z.  18  REC.  27",""
506,"C.C.Z.  18  REC.  28",""
507,"C.C.Z.  18  REC.  29",""
508,"C.C.Z.  18  REC.  30",""
510,"C.C.Z.  18  REC.  32",""
511,"C.C.Z.  18  REC.  33",""
512,"C.C.Z.  18  REC.  34",""
513,"C.C.Z.  18  REC.  35",""
514,"C.C.Z.  18  REC.  36",""
515,"C.C.Z.  18  REC.  37",""
516,"C.C.Z.  18  REC.  38",""
517,"C.C.Z.  18  REC.  39",""
518,"C.C.Z.  18  REC.  40",""
519,"C.C.Z.  6  REC.  0",""
520,"C.C.Z.  7  REC.  0",""
521,"C.C.Z.  9  REC.  0",""
522,"C.C.Z.  10  REC.  0",""
523,"C.C.Z.  11  REC.  0",""
524,"C.C.Z.  16  REC.  0",""
525,"C.C.Z.  17  REC.  0",""
526,"C.C.Z.  10  REC .29",""
527,"C.C.Z.  10  REC .30",""
528,"C.C.Z.  10  REC .31",""
529,"C.C.Z.  10  REC .32",""
530,"C.C.Z.  10  REC .33",""
531,"C.C.Z.  10  REC .34",""
532,"C.C.Z.  10  REC .35",""
533,"C.C.Z.  10  REC .36",""
534,"C.C.Z.  10  REC .37",""
535,"C.C.Z.  10  REC .38",""
536,"C.C.Z.  10  REC .39",""
537,"C.C.Z.  10  REC .40",""
538,"C.C.Z.  11  REC .26",""
539,"C.C.Z.  11  REC .27",""
540,"C.C.Z.  11  REC .28",""
541,"C.C.Z.  11  REC .29",""
542,"C.C.Z.  11  REC .30",""
543,"C.C.Z.  11  REC .31",""
544,"C.C.Z.  11  REC .32",""
545,"C.C.Z.  11  REC .33",""
546,"C.C.Z.  11  REC .34",""
547,"C.C.Z.  11  REC .35",""
548,"C.C.Z.  11  REC .36",""
549,"C.C.Z.  11  REC .37",""
550,"C.C.Z.  11  REC .38",""
551,"C.C.Z.  11  REC .39",""
552,"C.C.Z.  11  REC .40",""
553,"C.C.Z.  16  REC .26",""
554,"C.C.Z.  16  REC .27",""
555,"C.C.Z.  16  REC .28",""
556,"C.C.Z.  16  REC .29",""
557,"C.C.Z.  16  REC .30",""
558,"C.C.Z.  16  REC .31",""
559,"C.C.Z.  16  REC .32",""
560,"C.C.Z.  16  REC .33",""
561,"C.C.Z.  16  REC .34",""
562,"C.C.Z.  16  REC .35",""
563,"C.C.Z.  16  REC .36",""
564,"C.C.Z.  16  REC .37",""
565,"C.C.Z.  16  REC .38",""
566,"C.C.Z.  16  REC .39",""
567,"C.C.Z.  16  REC .40",""
583,"C.C.Z.  17  REC .26",""
584,"C.C.Z.  17  REC .27",""
585,"C.C.Z.  17  REC .28",""
586,"C.C.Z.  17  REC .29",""
587,"C.C.Z.  17  REC .30",""
588,"C.C.Z.  17  REC .31",""
589,"C.C.Z.  17  REC .32",""
590,"C.C.Z.  17  REC .33",""
591,"C.C.Z.  17  REC .34",""
592,"C.C.Z.  17  REC .35",""
593,"C.C.Z.  17  REC .36",""
594,"C.C.Z.  17  REC .37",""
595,"C.C.Z.  17  REC .38",""
596,"C.C.Z.  17  REC .39",""
597,"C.C.Z.  17  REC .40",""
598,"C.C.Z.  6 REC:  26",""
599,"C.C.Z.  6 REC:  27",""
600,"C.C.Z.  6 REC:  28",""
601,"C.C.Z.  6 REC:  29",""
602,"C.C.Z.  6 REC:  30",""
603,"C.C.Z.  6 REC:  31",""
604,"C.C.Z.  6 REC:  32",""
605,"C.C.Z.  6 REC:  33",""
606,"C.C.Z.  6 REC:  34",""
607,"C.C.Z.  6 REC:  35",""
608,"C.C.Z.  6 REC:  36",""
609,"C.C.Z.  6 REC:  37",""
610,"C.C.Z.  6 REC:  38",""
611,"C.C.Z.  6 REC:  39",""
612,"C.C.Z.  6 REC:  40",""
613,"C.C.Z.  7 REC:  26",""
614,"C.C.Z.  7 REC:  27",""
615,"C.C.Z.  7 REC:  28",""
616,"C.C.Z.  7 REC:  29",""
617,"C.C.Z.  7 REC:  30",""
618,"C.C.Z.  7 REC:  31",""
619,"C.C.Z.  7 REC:  32",""
620,"C.C.Z.  7 REC:  33",""
621,"C.C.Z.  7 REC:  34",""
622,"C.C.Z.  7 REC:  35",""
623,"C.C.Z.  7 REC:  36",""
624,"C.C.Z.  7 REC:  37",""
625,"C.C.Z.  7 REC:  38",""
626,"C.C.Z.  7 REC:  39",""
627,"C.C.Z.  7 REC:  40",""
628,"C.C.Z.  9 REC:  26",""
629,"C.C.Z.  9 REC:  27",""
630,"C.C.Z.  9 REC:  28",""
631,"C.C.Z.  9 REC:  29",""
632,"C.C.Z.  9 REC:  30",""
633,"C.C.Z.  9 REC:  31",""
634,"C.C.Z.  9 REC:  32",""
635,"C.C.Z.  9 REC:  33",""
636,"C.C.Z.  9 REC:  34",""
637,"C.C.Z.  9 REC:  35",""
638,"C.C.Z.  9 REC:  36",""
639,"C.C.Z.  9 REC:  37",""
