_id,GID,COD_CIRCUITO,TURNO_HORARIO,X,Y
5167,54709,C_DU_RM_CL_14       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ",576584.759339032,6141165.620130676
5168,54891,C_DU_RM_CL_09       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ",573956.4927636903,6139324.953978623
5169,54900,D_DU_RM_CL_02       ,MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ,576517.6438908274,6142789.887959031
5170,39354,D_DU_RM_CL_04       ,MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ,576935.3662598825,6142101.43661489
5171,42597,D_DU_RM_CL_02       ,MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ,577028.2414807803,6143439.775430199
5172,43839,D_DU_RM_CL_09       ,MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ,577754.6934102812,6146226.50404733
5173,52821,D_DU_RM_CL_01       ,"DOMINGO, MARTES Y VIERNES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                                            ",575426.0012235533,6142677.79498832
5174,45641,CH_DU_RM_CL_07      ,"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ",577811.2458033409,6136877.958171885
5175,52822,D_DU_RM_CL_01       ,"DOMINGO, MARTES Y VIERNES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                                            ",575775.4821211436,6143130.649952473
5176,52841,D_DU_RM_CL_15       ,MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ,579021.081461432,6150816.588357286
5177,52841,D_DU_RM_CL_15       ,MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ,579021.081461432,6150816.588357286
5178,52841,D_DU_RM_CL_15       ,MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ,579021.081461432,6150816.588357286
5179,52903,CH_DU_RM_CL_08      ,"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ",577637.9474242361,6137636.643783064
5180,48639,F_DU_RM_CL_12       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ",583046.8336438182,6148926.466271518
5181,48639,F_DU_RM_CL_12       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ",583046.8336438182,6148926.466271518
5182,48643,F_DU_RM_CL_12       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ",582902.4418227572,6149018.758855556
5183,48643,F_DU_RM_CL_12       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                   ",582902.4418227572,6149018.758855556
5184,48648,D_DU_RM_CL_05       ,MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ,577686.5667344203,6141628.950676462
5185,55745,C_DU_RM_CL_10       ,"LUNES, MIERCOLES Y VIERNES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                   ",575147.6764657281,6139602.377518988
5186,55793,D_DU_RM_CL_11       ,MARTES JUEVES Y SABADOS CON FERIADOS LABORABLES: Matutino (06 a 14 hrs.)                                                                                                                                                                                                                                      ,577113.3031612267,6145756.9113497585
5187,59203,CH_DU_RM_CL_05      ,"DOMINGOS, MARTES Y JUEVES CON FERIADOS LABORABLES: Nocturno (22 a 06 hrs.)                                                                                                                                                                                                                                    ",576977.4333948537,6137135.250020266
